Row ID,Order ID,Discount,Profit,
1,CA-2016-152156,0,41.9136,
2,CA-2016-152156,0,219.582,
3,CA-2016-138688,0,6.8714,
4,US-2015-108966,0.45,-383.031,
5,US-2015-108966,0.2,2.5164,
6,CA-2014-115812,0,14.1694,
7,CA-2014-115812,0,1.9656,
8,CA-2014-115812,0.2,90.7152,
9,CA-2014-115812,0.2,5.7825,
10,CA-2014-115812,0,34.47,
11,CA-2014-115812,0.2,85.3092,
12,CA-2014-115812,0.2,68.3568,
13,CA-2017-114412,0.2,5.4432,
14,CA-2016-161389,0.2,132.5922,
15,US-2015-118983,0.8,-123.858,
16,US-2015-118983,0.8,-3.816,
17,CA-2014-105893,0,13.3176,
18,CA-2014-167164,0,9.99,
19,CA-2014-143336,0,2.4824,
20,CA-2014-143336,0.2,16.011,
21,CA-2014-143336,0.2,7.384,
22,CA-2016-137330,0,5.0596,
23,CA-2016-137330,0,15.6884,
24,US-2017-156909,0.3,-1.0196,
25,CA-2015-106320,0,240.2649,
26,CA-2016-121755,0.2,4.2224,
27,CA-2016-121755,0,11.7741,
28,US-2015-150630,0.5,-1665.0522,
29,US-2015-150630,0.7,-7.0532,
30,US-2015-150630,0.2,15.525,
31,US-2015-150630,0.2,1.1016,
32,US-2015-150630,0.2,9.7092,
33,US-2015-150630,0.7,-5.715,
34,US-2015-150630,0.2,3.546,
35,CA-2017-107727,0.2,9.9468,
36,CA-2016-117590,0.2,123.4737,
37,CA-2016-117590,0.6,-147.963,
38,CA-2015-117415,0.2,35.415,
39,CA-2015-117415,0.32,-46.9764,
40,CA-2015-117415,0.3,-15.147,
41,CA-2015-117415,0.2,41.7564,
42,CA-2017-120999,0.2,16.5564,
43,CA-2016-101343,0,3.894,
44,CA-2017-139619,0.2,9.5616,
45,CA-2016-118255,0,19.7714,
46,CA-2016-118255,0,8.2062,
47,CA-2014-146703,0,8.4784,
48,CA-2016-169194,0,4.95,
49,CA-2016-169194,0,6.104,
50,CA-2015-115742,0,17.9634,
51,CA-2015-115742,0,35.3346,
52,CA-2015-115742,0,2.9568,
53,CA-2015-115742,0,17.0981,
54,CA-2016-105816,0,6.2566,
55,CA-2016-105816,0,298.6855,
56,CA-2016-111682,0,52.14,
57,CA-2016-111682,0,15.552,
58,CA-2016-111682,0.1,7.098,
59,CA-2016-111682,0,6.9888,
60,CA-2016-111682,0,3.3,
61,CA-2016-111682,0.2,16.362,
62,CA-2016-111682,0,0.84,
63,CA-2015-135545,0,6.1512,
64,CA-2015-135545,0.2,9.3612,
65,CA-2015-135545,0,68.9631,
66,CA-2015-135545,0,22.3328,
67,US-2015-164175,0.3,-15.2225,
68,CA-2014-106376,0.2,111.3024,
69,CA-2014-106376,0.2,62.988,
70,CA-2016-119823,0,35.6636,
71,CA-2016-106075,0.2,1.731,
72,CA-2017-114440,0,8.763,
